asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:30,509 | PPO objective after epoch 1: 13.75578498840332
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:30,509 | Value loss (MSE loss) after epoch 1: 805301.625
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:30,509 | Behavioral cloning loss (Bob loss) after epoch 1: 1.1007252931594849
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:30,572 | PPO objective after epoch 2: 15.081079483032227
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:30,572 | Value loss (MSE loss) after epoch 2: 1047005.1875
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:30,572 | Behavioral cloning loss (Bob loss) after epoch 2: 1.07361900806427
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:30,634 | PPO objective after epoch 3: 147.80023193359375
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:30,634 | Value loss (MSE loss) after epoch 3: 210690560.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:30,634 | Behavioral cloning loss (Bob loss) after epoch 3: 1.0499317646026611
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:30,694 | PPO objective after epoch 4: 9.927611351013184
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:30,694 | Value loss (MSE loss) after epoch 4: 506841.03125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:30,694 | Behavioral cloning loss (Bob loss) after epoch 4: 1.0791467428207397
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:30,757 | PPO objective after epoch 5: 36609.85546875
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:30,757 | Value loss (MSE loss) after epoch 5: 8550768705536.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:30,757 | Behavioral cloning loss (Bob loss) after epoch 5: 1.0768935680389404
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:30,819 | PPO objective after epoch 6: 31.15035629272461
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:30,819 | Value loss (MSE loss) after epoch 6: 3062664.75
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:30,820 | Behavioral cloning loss (Bob loss) after epoch 6: 1.075257658958435
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:30,886 | PPO objective after epoch 7: 12.052774429321289
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:30,886 | Value loss (MSE loss) after epoch 7: 1033891.5
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:30,887 | Behavioral cloning loss (Bob loss) after epoch 7: 1.0582033395767212
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:30,956 | PPO objective after epoch 8: 225.80621337890625
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:30,956 | Value loss (MSE loss) after epoch 8: 565712832.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:30,956 | Behavioral cloning loss (Bob loss) after epoch 8: 1.0797526836395264
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,018 | PPO objective after epoch 9: 30.151405334472656
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,018 | Value loss (MSE loss) after epoch 9: 6728264.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,018 | Behavioral cloning loss (Bob loss) after epoch 9: 1.0656408071517944
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,078 | PPO objective after epoch 10: 9.779144287109375
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,078 | Value loss (MSE loss) after epoch 10: 509441.09375
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,078 | Behavioral cloning loss (Bob loss) after epoch 10: 1.0576245784759521
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,152 | PPO objective after epoch 11: 16.205093383789062
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,152 | Value loss (MSE loss) after epoch 11: 572512.25
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,152 | Behavioral cloning loss (Bob loss) after epoch 11: 1.032004475593567
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,236 | PPO objective after epoch 12: 140.50730895996094
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,236 | Value loss (MSE loss) after epoch 12: 168569424.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,236 | Behavioral cloning loss (Bob loss) after epoch 12: 1.0588018894195557
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,320 | PPO objective after epoch 13: 33.981422424316406
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,321 | Value loss (MSE loss) after epoch 13: 8982157.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,321 | Behavioral cloning loss (Bob loss) after epoch 13: 1.0676984786987305
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,389 | PPO objective after epoch 14: 2567.05712890625
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,389 | Value loss (MSE loss) after epoch 14: 48466771968.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,389 | Behavioral cloning loss (Bob loss) after epoch 14: 1.0189837217330933
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,453 | PPO objective after epoch 15: 888.1299438476562
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,453 | Value loss (MSE loss) after epoch 15: 885103936.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,454 | Behavioral cloning loss (Bob loss) after epoch 15: 1.0403237342834473
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,518 | PPO objective after epoch 16: 10.613048553466797
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,518 | Value loss (MSE loss) after epoch 16: 557821.875
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,518 | Behavioral cloning loss (Bob loss) after epoch 16: 1.0431283712387085
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,583 | PPO objective after epoch 17: 3398.24853515625
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,583 | Value loss (MSE loss) after epoch 17: 107865726976.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,583 | Behavioral cloning loss (Bob loss) after epoch 17: 1.087171196937561
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,643 | PPO objective after epoch 18: 6.111140251159668
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,643 | Value loss (MSE loss) after epoch 18: 111797.6328125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,643 | Behavioral cloning loss (Bob loss) after epoch 18: 1.0376158952713013
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,719 | PPO objective after epoch 19: 2519.519287109375
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,719 | Value loss (MSE loss) after epoch 19: 33791133696.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,720 | Behavioral cloning loss (Bob loss) after epoch 19: 1.071243405342102
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,779 | PPO objective after epoch 20: 132.30397033691406
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,780 | Value loss (MSE loss) after epoch 20: 30036422.0
